id,zh,en,ja
slogan_0,游戏属于每一个人。,The game belongs to everyone.,ゲームはすべての人のものです。
slogan_1,Kawaii!,Kawaii!,Kawaii!
slogan_2,魔法是想象的世界。,Magic is an imaginary world.,魔法は想像の世界です。
slogan_3,也试试《Minecraft》！,Also try 'Minecraft'!,「Minecraft」もやってみて！
slogan_4,也试试《Terraria》！,Also try 'Terraria'!,「Terraria」もやってみて！
slogan_5,也试试《Terraria》！,Also try 'Terraria'!,「Terraria」もやってみて！
slogan_6,游戏在bug上运行。,The game runs on a bug.,ゲームはバグで動作します。
slogan_7,こんにちは！,こんにちは！,こんにちは！
slogan_7,你好！,你好！,你好！
slogan_7,Hello！,Hello！,Hello！
